epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.70246,1.17947,3.01512,1.41302,0.61198,0.86199,0.88778,0.62113,1.39178,1.33117,1.24621,0,0,0
2,4.16834,1.37691,2.96483,1.65889,0.60342,0.8794,0.88807,0.61531,1.40161,1.34925,1.25018,1.17822e-06,1.17822e-06,1.17822e-06
3,5.71447,1.46153,2.39669,1.80522,0.59263,0.87424,0.88799,0.61749,1.43069,1.3729,1.26985,2.33288e-06,2.33288e-06,2.33288e-06
4,7.09701,1.55596,2.89508,1.81399,0.5501,0.83333,0.83111,0.59626,1.46251,1.41065,1.28101,3.46397e-06,3.46397e-06,3.46397e-06
5,8.41868,1.42168,2.53294,1.6726,0.67866,0.75,0.87224,0.59724,1.49092,1.46583,1.30506,4.5715e-06,4.5715e-06,4.5715e-06
6,9.64351,1.27222,3.17654,1.63049,0.68365,0.58333,0.88625,0.57077,1.50684,1.51328,1.31666,5.65548e-06,5.65548e-06,5.65548e-06
7,10.9859,1.01842,2.21511,1.28429,0.80503,0.58333,0.88636,0.56513,1.52205,1.588,1.33506,6.71588e-06,6.71588e-06,6.71588e-06
8,12.2716,0.99899,2.47742,1.35153,0.78814,0.58333,0.88288,0.53067,1.53672,1.65932,1.34665,7.75273e-06,7.75273e-06,7.75273e-06
9,13.5588,1.21187,2.24775,1.46536,0.7694,0.58333,0.77004,0.52909,1.54689,1.72177,1.3543,8.76602e-06,8.76602e-06,8.76602e-06
10,14.89,0.93328,2.70829,1.41508,0.74835,0.58333,0.77233,0.52078,1.54579,1.75573,1.35489,9.75574e-06,9.75574e-06,9.75574e-06
11,16.3091,1.18857,2.31835,1.40627,0.70402,0.58333,0.74328,0.50878,1.5484,1.77609,1.3599,1.07219e-05,1.07219e-05,1.07219e-05
12,17.6089,1.17972,2.21475,1.4044,0.68209,0.58333,0.74331,0.50019,1.54429,1.80228,1.3595,1.16645e-05,1.16645e-05,1.16645e-05
13,18.8467,0.99864,2.81261,1.35742,0.93906,0.37111,0.74345,0.50681,1.53998,1.84249,1.35986,1.25835e-05,1.25835e-05,1.25835e-05
14,20.1531,1.07238,2.53699,1.44615,0.9392,0.37095,0.661,0.47494,1.52344,1.88666,1.35287,1.3479e-05,1.3479e-05,1.3479e-05
15,21.5764,1.21497,2.08332,1.41104,0.94,0.37119,0.66197,0.48207,1.51897,1.90219,1.35317,1.43509e-05,1.43509e-05,1.43509e-05
16,22.9176,1.09572,1.94329,1.36728,0.93602,0.37353,0.63459,0.48139,1.52259,1.95078,1.36713,1.51993e-05,1.51993e-05,1.51993e-05
17,24.2087,0.87009,1.42341,1.2398,0.93843,0.37354,0.63455,0.48174,1.51499,1.94856,1.36482,1.60241e-05,1.60241e-05,1.60241e-05
18,25.5319,0.98262,1.79921,1.3427,0.93843,0.37354,0.63455,0.48174,1.51499,1.94856,1.36482,1.68253e-05,1.68253e-05,1.68253e-05
19,27.0101,0.99623,1.43364,1.24667,0.93918,0.37367,0.6344,0.45743,1.53442,1.96733,1.36328,1.7603e-05,1.7603e-05,1.7603e-05
20,28.2184,1.0269,2.11183,1.44736,0.93918,0.37367,0.6344,0.45743,1.53442,1.96733,1.36328,1.83571e-05,1.83571e-05,1.83571e-05
21,29.5035,0.8785,1.85535,1.30843,0.9399,0.37374,0.61044,0.44907,1.57072,2.05504,1.38969,1.90876e-05,1.90876e-05,1.90876e-05
22,30.7423,0.80082,1.85415,1.1472,0.9399,0.37374,0.61044,0.44907,1.57072,2.05504,1.38969,1.97946e-05,1.97946e-05,1.97946e-05
23,32.0753,1.05086,1.97809,1.33707,0.9376,0.37349,0.60843,0.44699,1.57556,2.10608,1.39537,2.0478e-05,2.0478e-05,2.0478e-05
24,33.3806,1.08825,2.4698,1.518,0.9376,0.37349,0.60843,0.44699,1.57556,2.10608,1.39537,2.11379e-05,2.11379e-05,2.11379e-05
25,34.6139,0.64908,1.55794,1.11789,0.936,0.37333,0.59196,0.43242,1.63025,2.17575,1.43879,2.17741e-05,2.17741e-05,2.17741e-05
26,35.746,0.87828,1.42626,1.15951,0.936,0.37333,0.59196,0.43242,1.63025,2.17575,1.43879,2.23869e-05,2.23869e-05,2.23869e-05
27,36.9347,0.95242,1.53996,1.36504,0.93668,0.37342,0.58989,0.43212,1.67051,2.25169,1.49688,2.2976e-05,2.2976e-05,2.2976e-05
28,38.1147,1.14474,1.59596,1.44979,0.93668,0.37342,0.58989,0.43212,1.67051,2.25169,1.49688,2.35417e-05,2.35417e-05,2.35417e-05
29,39.2811,1.00322,1.33863,1.35433,0.93376,0.37362,0.45342,0.3194,1.70044,2.28798,1.51976,2.40837e-05,2.40837e-05,2.40837e-05
30,40.4188,1.44587,2.43935,1.7801,0.93376,0.37362,0.45342,0.3194,1.70044,2.28798,1.51976,2.46022e-05,2.46022e-05,2.46022e-05
31,41.5746,0.78844,1.9147,1.28751,0.93259,0.37331,0.45407,0.30469,1.7263,2.32234,1.53892,2.50971e-05,2.50971e-05,2.50971e-05
32,42.7247,0.80865,1.04195,1.13227,0.93259,0.37331,0.45407,0.30469,1.7263,2.32234,1.53892,2.55685e-05,2.55685e-05,2.55685e-05
33,43.9028,1.07144,3.17349,1.41448,0.93523,0.37327,0.44106,0.32047,1.75639,2.36426,1.54514,2.60163e-05,2.60163e-05,2.60163e-05
34,45.0036,0.8584,1.02589,1.28627,0.93523,0.37327,0.44106,0.32047,1.75639,2.36426,1.54514,2.64405e-05,2.64405e-05,2.64405e-05
35,46.2285,0.75429,1.60368,1.19529,0.92663,0.37291,0.44135,0.32057,1.7546,2.39981,1.54865,2.68412e-05,2.68412e-05,2.68412e-05
